"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SP","Share Prices, Index","CAN","Canada","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",90.44307,,
"SP","Share Prices, Index","CAN","Canada","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",84.37954,,
"SP","Share Prices, Index","CAN","Canada","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",88.90343,,
"SP","Share Prices, Index","CAN","Canada","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",102.0798,,
"SP","Share Prices, Index","CAN","Canada","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"SP","Share Prices, Index","CAN","Canada","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",97.9147,,
"SP","Share Prices, Index","CAN","Canada","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",108.4319,,
"SP","Share Prices, Index","CAN","Canada","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",109.7048,,
"SP","Share Prices, Index","CAN","Canada","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",113.8164,,
"SP","Share Prices, Index","CAN","Canada","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",111.7975,,
"SP","Share Prices, Index","CAN","Canada","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",138.1638,,
"SP","Share Prices, Index","CAN","Canada","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",140.6862,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1974","1974","PC","Percentage","0","Units",,,8.87,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1975","1975","PC","Percentage","0","Units",,,8.993333,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1976","1976","PC","Percentage","0","Units",,,9.229167,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1977","1977","PC","Percentage","0","Units",,,8.693334,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1978","1978","PC","Percentage","0","Units",,,9.235833,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1979","1979","PC","Percentage","0","Units",,,10.17917,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1980","1980","PC","Percentage","0","Units",,,12.33833,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1981","1981","PC","Percentage","0","Units",,,14.98917,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1982","1982","PC","Percentage","0","Units",,,14.43533,"B","Break"
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1983","1983","PC","Percentage","0","Units",,,11.39858,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1984","1984","PC","Percentage","0","Units",,,12.71004,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1985","1985","PC","Percentage","0","Units",,,10.91183,,
